ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3557060,HK610063,09/08/2004 10:45:00 AM,057XX S ELIZABETH ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,true,false,0713,007,16,67,18,1168969,1866719,2004,04/15/2016 08:55:02 AM,41.789793556,-87.655978004,"(41.789793556, -87.655978004)"
3557061,HK641428,09/22/2004 02:30:00 PM,018XX S KARLOV AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VACANT LOT/LAND,false,true,1012,010,24,29,08B,1149358,1890586,2004,04/15/2016 08:55:02 AM,41.855689417,-87.727269139,"(41.855689417, -87.727269139)"
3557062,HK642582,09/23/2004 02:00:00 AM,061XX N HAMILTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2413,024,40,2,26,1160878,1940824,2004,04/15/2016 08:55:02 AM,41.993314999,-87.683587818,"(41.993314999, -87.683587818)"
3557063,HK642607,09/23/2004 11:00:00 AM,021XX S ARCHER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,2111,009,25,34,07,1175163,1890149,2004,04/15/2016 08:55:02 AM,41.853951387,-87.632565837,"(41.853951387, -87.632565837)"
3557064,HK642657,09/23/2004 01:00:00 AM,025XX W DIVISION ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1423,014,26,24,06,1159437,1907897,2004,04/15/2016 08:55:02 AM,41.902991231,-87.689797763,"(41.902991231, -87.689797763)"
3557065,HK641407,09/22/2004 08:10:00 PM,034XX N LONG AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1633,016,38,15,08B,1139751,1922499,2004,04/15/2016 08:55:02 AM,41.943443179,-87.761751516,"(41.943443179, -87.761751516)"
3557066,HK635621,09/20/2004 11:25:00 AM,061XX S ASHLAND AVE,0820,THEFT,$500 AND UNDER,GAS STATION,true,false,0714,007,15,67,06,1166723,1864019,2004,04/15/2016 08:55:02 AM,41.782432685,-87.664290466,"(41.782432685, -87.664290466)"
3557067,HK596905,09/01/2004 11:19:37 PM,049XX S HERMITAGE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,true,false,0931,009,16,61,18,1165516,1871844,2004,04/15/2016 08:55:02 AM,41.803931129,-87.668493815,"(41.803931129, -87.668493815)"
3557068,HK639768,09/21/2004 10:30:00 PM,034XX W DOUGLAS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1021,010,24,29,08B,1153710,1893244,2004,04/15/2016 08:55:02 AM,41.862897867,-87.711224399,"(41.862897867, -87.711224399)"
3557069,HK641657,09/22/2004 09:55:00 PM,082XX W FOREST PRESERVE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,1631,016,36,17,08B,1120391,1921677,2004,04/15/2016 08:55:02 AM,41.941519703,-87.832928743,"(41.941519703, -87.832928743)"
3557070,HK631813,09/19/2004 08:42:00 AM,089XX S BURLEY AVE,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,ALLEY,true,false,0424,004,10,46,18,1199223,1846330,2004,04/15/2016 08:55:02 AM,41.733137221,-87.545731988,"(41.733137221, -87.545731988)"
