ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3557214,HK641975,09/23/2004 06:15:00 AM,106XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0512,005,9,49,08B,1178131,1834580,2004,04/15/2016 08:55:02 AM,41.701397325,-87.623356158,"(41.701397325, -87.623356158)"
3557215,HK641926,09/23/2004 02:30:00 AM,0000X N PULASKI RD,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,GAS STATION,false,false,1122,011,28,26,03,1149724,1899907,2004,04/15/2016 08:55:02 AM,41.881260233,-87.725683551,"(41.881260233, -87.725683551)"
3557216,HK642850,09/17/2004 05:15:00 PM,002XX W WACKER DR,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,0113,001,42,32,06,1174575,1902121,2004,04/15/2016 08:55:02 AM,41.886816493,-87.634366196,"(41.886816493, -87.634366196)"
3557219,HK642851,07/13/2004 08:00:00 AM,015XX E 54TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2132,002,4,41,11,1187365,1869894,2004,04/15/2016 08:55:02 AM,41.798088475,-87.588425164,"(41.798088475, -87.588425164)"
3557223,HK639980,09/22/2004 09:00:00 AM,003XX W OAK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1823,018,27,8,14,1174073,1907111,2004,04/15/2016 08:55:02 AM,41.900520536,-87.636060738,"(41.900520536, -87.636060738)"
3557224,HK635433,09/20/2004 09:30:00 AM,003XX N HOMAN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1123,011,28,27,03,1153661,1901892,2004,04/15/2016 08:55:02 AM,41.886629873,-87.711174161,"(41.886629873, -87.711174161)"
3557226,HK642807,09/23/2004 01:00:00 PM,048XX S ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,0931,009,20,61,07,1166491,1872569,2004,04/15/2016 08:55:02 AM,41.805899861,-87.664897308,"(41.805899861, -87.664897308)"
3557233,HK639212,09/21/2004 05:15:00 PM,0000X E NORTH AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1824,018,43,8,08A,1176414,1911039,2004,04/15/2016 08:55:02 AM,41.911246611,-87.627343478,"(41.911246611, -87.627343478)"
3557234,HK639177,08/24/2004 12:00:00 PM,005XX N ST LOUIS AVE,0820,THEFT,$500 AND UNDER,ALLEY,true,false,1121,011,27,23,06,1152951,1903450,2004,04/15/2016 08:55:02 AM,41.890919278,-87.713740165,"(41.890919278, -87.713740165)"
3557235,HK642835,09/21/2004 12:00:00 PM,056XX S HAMILTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0715,007,15,67,07,1162996,1867201,2004,04/15/2016 08:55:02 AM,41.791243273,-87.677865817,"(41.791243273, -87.677865817)"
3557236,HK642377,09/22/2004 11:00:00 PM,040XX N LAPORTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1624,016,45,15,14,1142631,1926564,2004,04/15/2016 08:55:02 AM,41.954544722,-87.751064394,"(41.954544722, -87.751064394)"
3557239,HK642772,08/15/2004 10:00:00 AM,064XX S SEELEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0726,007,15,67,14,1163802,1861961,2004,04/15/2016 08:55:02 AM,41.776847129,-87.675057475,"(41.776847129, -87.675057475)"
3557244,HK633740,09/19/2004 11:57:00 AM,041XX W WILCOX ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1115,011,28,26,14,1148855,1899015,2004,04/15/2016 08:55:02 AM,41.878829325,-87.728897569,"(41.878829325, -87.728897569)"
3557245,HK641652,09/22/2004 10:17:57 PM,013XX N CLEVELAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,1821,018,27,8,07,1172741,1909397,2004,04/15/2016 08:55:02 AM,41.906823047,-87.640885421,"(41.906823047, -87.640885421)"
3557246,HK642810,09/22/2004 06:00:00 PM,008XX W NEWPORT AVE,0810,THEFT,OVER $500,STREET,false,false,2331,019,44,6,06,1170080,1923112,2004,04/15/2016 08:55:02 AM,41.944516203,-87.650258959,"(41.944516203, -87.650258959)"
3557248,HK633751,09/19/2004 11:00:00 AM,042XX W GRENSHAW ST,0460,BATTERY,SIMPLE,ALLEY,false,false,1132,011,24,29,08B,1148327,1894700,2004,04/15/2016 08:55:02 AM,41.866998646,-87.730947493,"(41.866998646, -87.730947493)"
3557249,HK642865,09/22/2004 11:00:00 PM,033XX S ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0922,009,11,59,05,1166218,1882405,2004,04/15/2016 08:55:02 AM,41.832896732,-87.665618235,"(41.832896732, -87.665618235)"
3557250,HK631653,09/18/2004 10:30:00 AM,034XX W CHICAGO AVE,0560,ASSAULT,SIMPLE,APARTMENT,true,true,1121,011,27,23,08A,1153483,1905125,2004,04/15/2016 08:55:02 AM,41.895505083,-87.71174182,"(41.895505083, -87.71174182)"
3557251,HK641957,09/23/2004 04:55:00 AM,004XX E 75TH ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0323,003,6,69,08B,1180291,1855376,2004,04/15/2016 08:55:02 AM,41.758414946,-87.614811344,"(41.758414946, -87.614811344)"
3557254,HK641622,09/22/2004 10:17:03 PM,006XX N DEARBORN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,1832,018,42,8,07,1175816,1904914,2004,04/15/2016 08:55:02 AM,41.894452805,-87.629724859,"(41.894452805, -87.629724859)"
3557256,HK640230,09/22/2004 10:50:00 AM,002XX N KOLMAR AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,1113,011,28,26,08A,1146037,1900783,2004,04/15/2016 08:55:02 AM,41.883734918,-87.739199887,"(41.883734918, -87.739199887)"
3557257,HK642868,09/22/2004 09:00:00 AM,034XX N BELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),false,false,1913,019,32,5,14,1160758,1922779,2004,04/15/2016 08:55:02 AM,41.943801169,-87.684531876,"(41.943801169, -87.684531876)"
3557260,HK635113,09/20/2004 03:37:00 AM,036XX W POLK ST,0810,THEFT,OVER $500,STREET,true,false,1133,011,24,27,06,1152274,1896124,2004,04/15/2016 08:55:02 AM,41.870829345,-87.716419864,"(41.870829345, -87.716419864)"
3557261,HK637888,09/18/2004 12:00:00 PM,069XX S CRANDON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0331,003,5,43,26,1192524,1859341,2004,04/15/2016 08:55:02 AM,41.76900609,-87.569850165,"(41.76900609, -87.569850165)"
3557264,HK642915,09/22/2004 11:00:00 AM,002XX N CANAL ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1212,001,42,28,06,1173086,1901809,2004,04/15/2016 08:55:02 AM,41.885993497,-87.639843409,"(41.885993497, -87.639843409)"
3557265,HK642908,09/22/2004 11:15:00 PM,001XX N LOTUS AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1523,015,28,25,06,1139930,1900455,2004,04/15/2016 08:55:02 AM,41.882948676,-87.761633664,"(41.882948676, -87.761633664)"
3557266,HK641606,09/22/2004 10:00:00 PM,016XX N DAYTON ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1813,018,43,7,03,1170377,1911189,2004,04/15/2016 08:55:02 AM,41.911792433,-87.649516823,"(41.911792433, -87.649516823)"
3557268,HK642897,09/21/2004 12:00:00 AM,012XX W SCHUBERT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,WAREHOUSE,false,false,1933,019,32,7,14,1167375,1918060,2004,04/15/2016 08:55:02 AM,41.930711991,-87.660347109,"(41.930711991, -87.660347109)"
3557270,HK642892,09/14/2004 03:00:00 PM,015XX W OAKDALE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1931,019,32,6,05,1165598,1919667,2004,04/15/2016 08:55:02 AM,41.935159776,-87.666831265,"(41.935159776, -87.666831265)"
3557275,HK638878,08/24/2004 01:00:00 PM,062XX S DREXEL AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0313,003,20,42,06,1183078,1863856,2004,04/15/2016 08:55:02 AM,41.781620549,-87.604333908,"(41.781620549, -87.604333908)"
3557277,HK642838,09/21/2004 12:00:00 PM,123XX S LA SALLE ST,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,0523,005,9,53,06,1177503,1823047,2004,04/15/2016 08:55:02 AM,41.669763233,-87.626002406,"(41.669763233, -87.626002406)"
3557281,HK640364,09/22/2004 11:48:00 AM,008XX N CLEVELAND AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1823,018,27,8,06,1172849,1905980,2004,04/15/2016 08:55:02 AM,41.89744422,-87.640590056,"(41.89744422, -87.640590056)"
3557283,HK642843,09/23/2004 01:30:00 PM,003XX W SUPERIOR ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1831,018,42,8,06,1174092,1905306,2004,04/15/2016 08:55:02 AM,41.895567096,-87.636044835,"(41.895567096, -87.636044835)"
3557284,HK642949,09/23/2004 11:30:00 AM,001XX E 122ND ST,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,RESIDENCE,false,false,0532,005,9,53,17,1179288,1824096,2004,04/15/2016 08:55:02 AM,41.672601458,-87.619437756,"(41.672601458, -87.619437756)"
3557286,HK629118,09/17/2004 07:00:00 AM,072XX S INDIANA AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0323,003,6,69,04B,1178851,1857157,2004,04/15/2016 08:55:02 AM,41.763335089,-87.620034658,"(41.763335089, -87.620034658)"
3557287,HK642901,09/23/2004 09:30:00 AM,062XX S WESTERN AVE,0810,THEFT,OVER $500,STREET,false,false,0825,008,15,66,06,1161441,1863309,2004,04/15/2016 08:55:02 AM,41.780595495,-87.68367553,"(41.780595495, -87.68367553)"
3557289,HK642953,09/23/2004 07:55:00 AM,038XX W 69TH PL,0810,THEFT,OVER $500,"SCHOOL, PUBLIC, GROUNDS",false,false,0833,008,13,65,06,1151903,1858240,2004,04/15/2016 08:55:02 AM,41.766877777,-87.718776712,"(41.766877777, -87.718776712)"
3557290,HK642951,09/23/2004 02:30:00 PM,014XX N LEAMINGTON AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",false,false,2533,025,37,25,06,1141772,1909093,2004,04/15/2016 08:55:02 AM,41.9066185,-87.754655732,"(41.9066185, -87.754655732)"
3557291,HK641225,09/22/2004 06:00:00 PM,011XX N CLARK ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,true,false,1824,018,42,8,06,1175336,1907780,2004,04/15/2016 08:55:02 AM,41.902328043,-87.631401618,"(41.902328043, -87.631401618)"
3557293,HK642965,09/22/2004 10:00:00 PM,065XX S KIMBARK AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0321,003,20,42,06,1185763,1861895,2004,04/15/2016 08:55:02 AM,41.776176511,-87.594551952,"(41.776176511, -87.594551952)"
3557294,HK642978,09/21/2004 11:00:00 PM,017XX E 71ST PL,0820,THEFT,$500 AND UNDER,STREET,false,false,0324,003,5,43,06,1189239,1857921,2004,04/15/2016 08:55:02 AM,41.765188879,-87.581936662,"(41.765188879, -87.581936662)"
3557295,HK642982,09/23/2004 01:00:00 AM,076XX S STEWART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0623,006,17,69,14,1174951,1854216,2004,04/15/2016 08:55:02 AM,41.755352491,-87.634416423,"(41.755352491, -87.634416423)"
3557297,HK642942,09/23/2004 08:00:00 AM,021XX N CLARK ST,0810,THEFT,OVER $500,STREET,false,false,1814,018,43,7,06,1173621,1914451,2004,04/15/2016 08:55:02 AM,41.920671921,-87.637502226,"(41.920671921, -87.637502226)"
3557298,HK637854,09/20/2004 06:00:00 PM,018XX E 75TH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0324,003,8,43,03,1189797,1855610,2004,04/15/2016 08:55:02 AM,41.758833905,-87.579965641,"(41.758833905, -87.579965641)"
3557301,HK642959,09/23/2004 04:00:00 AM,051XX W MADISON ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1533,015,28,25,06,1142293,1899542,2004,04/15/2016 08:55:02 AM,41.880399766,-87.752979177,"(41.880399766, -87.752979177)"
3557302,HK642990,09/22/2004 02:30:00 PM,006XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,1834,018,42,8,06,1177327,1904307,2004,04/15/2016 08:55:02 AM,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
3557305,HK642999,09/18/2004 10:30:00 PM,016XX W SUPERIOR ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1324,012,1,24,26,1165380,1905083,2004,04/15/2016 08:55:02 AM,41.895145001,-87.668048176,"(41.895145001, -87.668048176)"
3557307,HK642992,09/23/2004 07:00:00 AM,005XX W 81ST ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0621,006,21,44,07,1174288,1851200,2004,04/15/2016 08:55:02 AM,41.747090966,-87.636935599,"(41.747090966, -87.636935599)"
3557308,HK642697,09/23/2004 12:37:00 PM,069XX S CORNELL AVE,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,false,false,0332,003,5,43,06,1188550,1859304,2004,04/15/2016 08:55:02 AM,41.769000438,-87.584417878,"(41.769000438, -87.584417878)"
3557309,HK638385,09/18/2004 02:30:00 AM,070XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,ALLEY,false,false,0322,003,6,69,08A,1180141,1858238,2004,04/15/2016 08:55:02 AM,41.766272015,-87.615273519,"(41.766272015, -87.615273519)"
3557312,HK642410,09/23/2004 11:15:00 AM,063XX S LANGLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0312,003,20,42,14,1181983,1863151,2004,04/15/2016 08:55:02 AM,41.779711368,-87.608370187,"(41.779711368, -87.608370187)"
3557315,HK642861,09/23/2004 02:40:00 PM,011XX N MONTICELLO AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,true,false,1112,011,27,23,18,1151832,1907375,2004,04/15/2016 08:55:02 AM,41.901711967,-87.717746295,"(41.901711967, -87.717746295)"
3557316,HK643059,09/23/2004 03:00:00 AM,104XX S WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2211,022,19,72,14,1162232,1835439,2004,04/15/2016 08:55:02 AM,41.704099495,-87.681549467,"(41.704099495, -87.681549467)"
3557317,HK640548,09/21/2004 06:00:00 PM,065XX S DR MARTIN LUTHER KING JR DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0312,003,20,69,14,1180045,1861735,2004,04/15/2016 08:55:02 AM,41.775870339,-87.615518412,"(41.775870339, -87.615518412)"
3557318,HK642995,09/23/2004 12:00:00 AM,030XX S KENNETH AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1031,010,22,30,06,1147215,1883982,2004,04/15/2016 08:55:02 AM,41.837608408,-87.73530386,"(41.837608408, -87.73530386)"
3557320,HK642566,09/23/2004 12:18:00 PM,064XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0312,003,20,69,08B,1180026,1862452,2004,04/15/2016 08:55:02 AM,41.777838294,-87.615566126,"(41.777838294, -87.615566126)"
3557322,HK643034,09/22/2004 06:00:00 PM,078XX S UNION AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,false,false,0621,006,17,71,02,1172990,1853027,2004,04/15/2016 08:55:02 AM,41.752133217,-87.64163799,"(41.752133217, -87.64163799)"
3557323,HK643066,09/22/2004 08:00:00 PM,023XX N AVERS AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,2525,025,30,22,05,1150325,1915315,2004,04/15/2016 08:55:02 AM,41.923529617,-87.723074216,"(41.923529617, -87.723074216)"
3557326,HK643090,09/23/2004 04:40:00 PM,091XX S MAY ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2222,022,21,73,26,1170261,1844156,2004,04/15/2016 08:55:02 AM,41.727849736,-87.651895969,"(41.727849736, -87.651895969)"
3557327,HK641852,09/23/2004 01:43:00 AM,116XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0522,005,34,53,08B,1176369,1827778,2004,04/15/2016 08:55:02 AM,41.682771304,-87.630011358,"(41.682771304, -87.630011358)"
3557328,HK643032,09/23/2004 02:30:00 PM,0000X E WACKER DR,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,false,false,0122,001,42,32,11,1176429,1902142,2004,04/15/2016 08:55:02 AM,41.886832476,-87.627557257,"(41.886832476, -87.627557257)"
3557329,HK641415,09/20/2004 04:00:00 AM,030XX W BELMONT AVE,0330,ROBBERY,AGGRAVATED,SIDEWALK,false,false,1733,017,33,21,03,1155737,1921124,2004,04/15/2016 08:55:02 AM,41.939362537,-87.703031512,"(41.939362537, -87.703031512)"
3557330,HK641944,09/23/2004 04:25:00 AM,121XX S YALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0523,005,34,53,08B,1176799,1824403,2004,04/15/2016 08:55:02 AM,41.673500139,-87.628538359,"(41.673500139, -87.628538359)"
3557331,HK643092,09/23/2004 12:00:00 AM,061XX N DAMEN AVE,0810,THEFT,OVER $500,STREET,false,false,2413,024,40,2,06,1161874,1941070,2004,04/15/2016 08:55:02 AM,41.993969236,-87.679917247,"(41.993969236, -87.679917247)"
3557333,HK630874,09/17/2004 11:30:00 PM,115XX S HALSTED ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,VEHICLE NON-COMMERCIAL,true,false,0524,005,34,53,26,1173049,1828490,2004,04/15/2016 08:55:02 AM,41.684798878,-87.642143665,"(41.684798878, -87.642143665)"
3557336,HK635875,09/20/2004 12:11:00 PM,098XX S DOBSON AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE-GARAGE,false,false,0511,005,8,50,26,1184951,1839921,2004,04/15/2016 08:55:02 AM,41.715896683,-87.598216838,"(41.715896683, -87.598216838)"
3557337,HK635173,09/20/2004 06:20:00 AM,007XX E 111TH ST,0460,BATTERY,SIMPLE,WAREHOUSE,true,false,0513,005,9,50,08B,1183368,1831504,2004,04/15/2016 08:55:02 AM,41.692836306,-87.604275485,"(41.692836306, -87.604275485)"
3557338,HK643112,09/23/2004 02:30:00 PM,0000X N DEARBORN ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0122,001,42,32,06,1175939,1900429,2004,04/15/2016 08:55:02 AM,41.882142953,-87.629408248,"(41.882142953, -87.629408248)"
3557340,HK643096,09/22/2004 04:00:00 PM,010XX W GARFIELD BLVD,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,DRIVEWAY - RESIDENTIAL,false,false,0712,007,16,68,14,1170127,1868204,2004,04/15/2016 08:55:02 AM,41.79384345,-87.651688792,"(41.79384345, -87.651688792)"
3557341,HK642591,09/23/2004 09:00:00 AM,017XX E 71ST ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0332,003,5,43,07,1189179,1858282,2004,04/15/2016 08:55:02 AM,41.766180932,-87.582145021,"(41.766180932, -87.582145021)"
3557343,HK642878,09/23/2004 02:30:00 PM,048XX W NORTH AVE,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,true,false,2533,025,37,25,06,1143844,1910199,2004,04/15/2016 08:55:02 AM,41.909614875,-87.747016581,"(41.909614875, -87.747016581)"
3557345,HK643129,09/23/2004 11:00:00 AM,021XX W PIERCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1424,014,32,24,07,1161947,1910220,2004,04/15/2016 08:55:02 AM,41.909313678,-87.680513112,"(41.909313678, -87.680513112)"
3557347,HK643132,06/23/2004 09:00:00 AM,060XX N SHERIDAN RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,false,false,2433,024,48,77,26,1168539,1940184,2004,04/15/2016 08:55:02 AM,41.991395865,-87.65542649,"(41.991395865, -87.65542649)"
3557349,HK639295,09/21/2004 08:29:00 PM,064XX S DR MARTIN LUTHER KING JR DR,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,true,false,0312,003,20,69,04B,1180028,1862391,2004,04/15/2016 08:55:02 AM,41.777670858,-87.61556066,"(41.777670858, -87.61556066)"
3557350,HK643072,09/23/2004 02:00:00 PM,102XX S WALDEN PKWY,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,2213,022,19,72,26,1165650,1836741,2004,04/15/2016 08:55:02 AM,41.707600727,-87.668996508,"(41.707600727, -87.668996508)"
3557352,HK638458,09/21/2004 01:45:00 PM,084XX S GREEN ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0613,006,21,71,08A,1172111,1848984,2004,04/15/2016 08:55:02 AM,41.741058041,-87.644977652,"(41.741058041, -87.644977652)"
3557354,HK639853,09/22/2004 03:30:00 AM,077XX S CARPENTER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,true,0612,006,17,71,14,1170658,1853397,2004,04/15/2016 08:55:02 AM,41.753199675,-87.65017296,"(41.753199675, -87.65017296)"
3557355,HK643133,09/20/2004 07:00:00 PM,020XX N CLIFTON AVE,0810,THEFT,OVER $500,ALLEY,false,false,1811,018,43,7,06,1168312,1913694,2004,04/15/2016 08:55:02 AM,41.918711223,-87.657030396,"(41.918711223, -87.657030396)"
3557356,HK643170,09/23/2004 04:30:00 PM,105XX S EWING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0432,004,10,52,14,1202173,1835778,2004,04/15/2016 08:55:02 AM,41.704107141,-87.535283341,"(41.704107141, -87.535283341)"
3557357,HK643162,09/22/2004 05:00:00 AM,083XX S SEELEY AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0614,006,18,71,05,1164144,1849335,2004,04/15/2016 08:55:02 AM,41.742192407,-87.674158385,"(41.742192407, -87.674158385)"
3557358,HK640087,09/22/2004 09:36:00 AM,082XX S GREEN ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0613,006,21,71,05,1172073,1850271,2004,04/15/2016 08:55:02 AM,41.744590575,-87.645079167,"(41.744590575, -87.645079167)"
3557362,HK642099,09/23/2004 08:00:00 AM,092XX S WENTWORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0634,006,21,49,14,1176573,1843663,2004,04/15/2016 08:55:02 AM,41.726357431,-87.628788868,"(41.726357431, -87.628788868)"
3557364,HK642107,09/23/2004 08:00:00 AM,081XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0631,006,6,44,06,1182970,1851301,2004,04/15/2016 08:55:02 AM,41.747170897,-87.605119541,"(41.747170897, -87.605119541)"
3557365,HK643173,09/20/2004 12:00:00 AM,036XX W GRENSHAW ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,1133,011,24,29,02,1152140,1894794,2004,04/15/2016 08:55:02 AM,41.867182318,-87.71694689,"(41.867182318, -87.71694689)"
3557368,HK643164,09/23/2004 12:00:00 AM,018XX N FREMONT ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1813,018,43,7,05,1170016,1912214,2004,04/15/2016 08:55:02 AM,41.914612979,-87.650813054,"(41.914612979, -87.650813054)"
3557369,HK643189,09/23/2004 09:30:00 AM,0000X E RANDOLPH ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0122,001,42,32,06,1176550,1901291,2004,04/15/2016 08:55:02 AM,41.884494554,-87.627138636,"(41.884494554, -87.627138636)"
3557372,HK643201,09/21/2004 05:00:00 PM,030XX N HALSTED ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1932,019,44,6,06,1170401,1920338,2004,04/15/2016 08:55:02 AM,41.936897209,-87.649160485,"(41.936897209, -87.649160485)"
3557373,HK643181,09/23/2004 04:00:00 PM,013XX E 47TH ST,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,false,false,2123,002,4,39,06,1185692,1874100,2004,04/15/2016 08:55:02 AM,41.809669669,-87.594427666,"(41.809669669, -87.594427666)"
3557374,HK642166,09/23/2004 02:00:00 AM,094XX S LA SALLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0634,006,21,49,14,1176941,1842365,2004,04/15/2016 08:55:02 AM,41.722787275,-87.627479844,"(41.722787275, -87.627479844)"
3557375,HK642212,09/04/2004 12:01:00 AM,082XX S HONORE ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0614,006,18,71,08A,1165450,1850108,2004,04/15/2016 08:55:02 AM,41.744286081,-87.669351341,"(41.744286081, -87.669351341)"
3557378,HK642270,09/23/2004 09:18:00 AM,002XX W 87TH ST,0860,THEFT,RETAIL THEFT,WAREHOUSE,true,false,0622,006,21,44,06,1176467,1847230,2004,04/15/2016 08:55:02 AM,41.736148121,-87.629070243,"(41.736148121, -87.629070243)"
3557379,HK643233,09/23/2004 08:00:00 AM,0000X E 9TH ST,0810,THEFT,OVER $500,OTHER,false,false,0132,001,2,32,06,1176856,1896212,2004,04/15/2016 08:55:02 AM,41.870550571,-87.626168646,"(41.870550571, -87.626168646)"
3557380,HK642293,09/23/2004 10:10:00 AM,007XX E 78TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0624,006,6,69,08B,1182353,1853447,2004,04/15/2016 08:55:02 AM,41.753074059,-87.607314023,"(41.753074059, -87.607314023)"
3557381,HK643237,09/23/2004 05:00:00 PM,058XX W LELAND AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1622,016,45,15,06,1136391,1930651,2004,04/15/2016 08:55:02 AM,41.965873891,-87.773905847,"(41.965873891, -87.773905847)"
3557383,HK642242,09/22/2004 12:30:00 AM,013XX E 75TH ST,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,false,false,0324,003,5,43,06,1186661,1855540,2004,04/15/2016 08:55:02 AM,41.758716607,-87.591460936,"(41.758716607, -87.591460936)"
3557384,HK642351,09/17/2004 02:30:00 PM,078XX S UNION AVE,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,"SCHOOL, PRIVATE, BUILDING",false,false,0621,006,17,71,13,1172994,1852846,2004,04/15/2016 08:55:02 AM,41.751636442,-87.641628664,"(41.751636442, -87.641628664)"
3557385,HK642376,09/23/2004 09:55:00 AM,075XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0623,006,6,69,14,1178465,1854960,2004,04/15/2016 08:55:02 AM,41.757315052,-87.621516044,"(41.757315052, -87.621516044)"
